recid,radate,assignmt,site,training,afdc,sex,class_tr,ojt_jsa,oth_serv,bdate,age,earnings,prevearn,married,pbhous,hsorged,black,hispanic,f2sms,wkless13,newern01,newern02,newern03,newern04,newern05,newern06,newern07,newern08,newern09,newern10,newern11,newern12,newern13,newern14,newern15,newern16,newern17,newern18,newern19,newern20,newern21,newern22,newern23,newern24,newern25,newern26,newern27,newern28,newern29,newern30,bifrsp,employed_01,employed_02,employed_03,employed_04,employed_05,employed_06,employed_07,employed_08,employed_09,employed_10,employed_11,employed_12,employed_13,employed_14,employed_15,employed_16,employed_17,employed_18,employed_19,employed_20,employed_21,employed_22,employed_23,employed_24,employed_25,employed_26,employed_27,employed_28,employed_29,employed_30,frac_months_employed,outcome,bfeduca,reasonsa,reasonsb,reasonsc,reject
309908,12/08/88,0,OK,0,0,1,1,0,0,03/18/59,29,40308,9000,0,0,1,0,0,1,0,1368,1236,1368,1324,1368,1324,1368,1948,1447,1447,1447,1447,1880,1236,1368,1324,1368,1324,1593,1919,1857,1919,1857,1919,1919,1733,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,.86666667,1,16,Control,No Other,Missing,Did not reject
309911,11/28/88,1,SM,0,0,0,0,1,0,11/29/51,36,37694,2500,0,0,1,0,0,0,1,919,580,580,580,922,922,922,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,Took Job,No Other,Missing,Rejected JTPA
309912,03/31/89,1,IN,1,0,1,0,0,1,01/18/46,43,3837,7000,1,0,1,0,0,0,0,386,386,386,709,709,709,103,103,103,63,63,63,9,9,9,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,.60000002,1,16,Missing,Missing,Missing,Did not reject
309917,12/21/88,1,IN,1,0,0,0,1,0,09/16/62,26,3792,1800,0,0,0,0,0,0,0,10,10,10,0,0,0,66,66,66,29,29,29,0,0,0,76,76,76,0,0,0,93,93,93,166,166,166,824,824,824,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,.69999999,1,11,Missing,Missing,Missing,Did not reject
309924,12/07/88,1,MN,0,0,1,1,0,0,10/11/51,37,9918,4103.9111,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1112,1112,1112,1769,1769,1769,380,380,380,0,0,0,0,0,0,0,0,0,45,45,45,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,.40000001,0,99,Not Chosen,No Other,Missing,Did not reject
309925,07/21/89,1,IN,0,1,0,0,0,1,05/25/48,41,1146,1500,0,0,1,0,0,0,1,0,0,133,133,133,249,249,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2,0,16,Missing,Missing,Missing,Did not reject
309926,07/05/88,1,SM,1,0,0,0,1,0,10/08/62,25,0,2444.656,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Missing,Missing,Missing,Did not reject
309929,04/25/88,1,PR,0,1,0,1,0,0,10/31/63,24,20889,2444.656,0,0,1,0,0,0,.53322983,0,0,0,0,0,0,0,0,0,0,0,979,979,979,1037,1037,1037,1020,1020,1020,1172,1172,1172,1231,1231,1231,1098,1098,1098,1278,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.63333333,1,12,Missing,Missing,Missing,Did not reject
309932,09/16/88,0,HF,0,0,1,0,1,0,07/02/62,26,2340,2100,0,0,0,1,0,1,0,115,115,115,307,307,307,0,0,0,0,0,0,144,144,144,188,188,188,26,26,26,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,.5,1,10,Not Chosen,No Other,Missing,Did not reject
309935,10/28/88,0,IN,0,0,0,0,1,0,09/17/62,26,16971,1440,.21116078,0,1,0,0,1,0,0,0,756,784,868,840,868,840,868,868,840,868,840,868,868,784,868,840,702,0,0,0,0,0,0,0,449,740,819,793,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,.69999999,1,12,Not Chosen,No Other,Missing,Did not reject
